ndrew,orderth,DataTypeCtl,ComputeNo,cmd,Display,DescData,ClassDesc,MoneyType,Amount,remark
,1,3,1,,V,資產,資產,1,960761,
,2,3,2,,V,流動資產,流動資產,1,371569,
1115,3,1,2,+,V,約當現金,流動資產,1,0,
1113,4,1,2,+,V,銀行存款,流動資產,1,74276,
1121,5,1,2,+,V,金融資產,流動資產,1,281634,
1122,6,1,2,NA,,金融資產,流動資產,1,20000,不加入評價
,7,1,2,,V,合約資產,流動資產,1,0,
1181,8,1,2,+,V,應收票據,流動資產,1,0,
1191,9,1,2,+,V,應收帳款,流動資產,1,0,
1211,10,1,2,+,V,其他應收款,流動資產,1,0,
,11,3,4,,V,存貨,流動資產,1,1971,
1231,12,1,4,+,V,商品,流動資產,1,0,
1235,13,1,4,+,V,製成品 ,流動資產,1,0,
1237,14,1,4,+,V,在製品(或在建工程),流動資產,1,0,
1239,15,1,4,+,V,原料,流動資產,1,1240,
1240,16,1,4,+,V,物料,流動資產,1,731,
,17,3,9,,V,預付,流動資產,1,2414,
1262,18,1,9,+,V,預付租金,流動資產,1,1424,
1266,19,1,9,+,V,預付貨款,流動資產,1,824,
,20,3,3,,V,其他流動資產,流動資產,1,11274,
1283,21,1,3,+,V,員工借支,流動資產,1,166,
1281,22,1,3,+,V,暫付款,流動資產,1,2050,
1285,23,1,3,+,V,其他資產,流動資產,1,,
,24,3,5,,V,非流動資產,非流動資產,2,589192,
1586,25,1,5,+,V,其他非流動資產,非流動資產,2,9224,
1431,26,1,5,+,V,辦公設備-成本,非流動資產,2,24743,
1551,27,1,5,+,V,其他無形資產,非流動資產,2,323995,
1555,28,1,5,+,V,其他無形資產,非流動資產,2,100,
1533,29,1,5,+,V,累計攤銷-電腦軟體(5年),非流動資產,2,237104,
1583,30,1,5,+,V,存出保證金,非流動資產,2,3350,
1284,31,1,5,+,V,存出保證金,非流動資產,2,0,
1584,32,1,5,+,V,業主往來,非流動資產,2,0,
1261,33,1,9,+,,預付薪資,流動資產,1,0,
,34,3,6,,V,負債,負債,3,51545,
2171,35,2,6,+,V,應付帳款,負債,3,1545,
2191,36,2,6,+,V,應付薪資,負債,3,50000,
2197,37,2,6,+,V,其他應付費用,負債,3,0,
,38,3,7,,V,業主權益,權益,4,1253430,
3111,39,2,7,+,V,普通股股本,權益,4,500000,
3113,40,2,7,+,V,預收股本,權益,4,753430,
3353,41,1,7,R,V,本期損益,權益,4,-310014,本期損益字樣不能修改
3351,42,1,7,R,V,累計虧損,權益,4,-34200,累計虧損字樣不能修改
,43,3,8,,V,負債及權益總額,負債及權益,5,960761,
2131,44,2,6,+,V,資產調整轉金融負債,負債,3,0,
