編號,序號,分類,項目,財產名稱,日期,是否外帳,會科,數量,單位,原價,耐用年限,使用年月,已使用年月,備註,類別,提列殘值公式,
1,1030,0,18,WF20181001008--2018-10-01-研究資材,2018/10/1 上午 12:00:00,1,1533,1,項,85.00,3.00,3,0,43830,2,0.05,
2,1032,0,20,WF20181006001-2018-10-06-研究資材,2018/10/6 上午 12:00:00,1,1533,1,項,240.00,3.00,3,0,,2,0.05,
3,1034,0,22,WF20181017001-2018-10-17-研究資材,2018/10/17 上午 12:00:00,1,1533,1,項,1257.00,3.00,3,0,,2,0.05,
4,1037,0,25,WF20181231096-研發系統及模組,2018/12/31 上午 12:00:00,1,1586,1,項,235650.00,10.00,0,0,,2,0.05,
5,1013,3,1,文具一批-切紙機,2018/1/4 上午 12:00:00,0,6113,1,組,799.00,0.00,0,0,,3,0.05,
6,1016,4,4,公司大小章,2018/1/30 上午 12:00:00,0,9999,1,式,450.00,0.00,0,0,,3,0.05,
7,1022,6,10,電動零件,2018/7/25 上午 12:00:00,1,1586,1,台,853.00,1.50,6,0,2018/12/31,1,0.05,
8,1027,7,15,三用電錶,2018/9/24 上午 12:00:00,1,1586,1,項,85.00,1.50,4,0,,1,0.05,
9,1020,11,8,設計硬體設備-01,2018/6/30 上午 12:00:00,1,1586,1,組,6656.00,1.50,12,0,,1,0.05,
10,1021,12,9,設計硬體設備-附件,2018/6/30 上午 12:00:00,1,1586,1,組,3974.00,1.50,12,0,,1,0.05,
11,1025,14,13,研發電子零件,2018/8/22 上午 12:00:00,1,1586,1,台,2332.00,1.50,12,0,,1,0.05,
12,1033,15,21,研發電子零件一式,2018/10/8 上午 12:00:00,1,1586,1,台,908.00,1.50,3,0,,1,0.05,
13,1036,16,24,研發電子零件一批,2018/11/16 上午 12:00:00,1,1586,1,組,743.00,1.50,0,0,2018/12/31,1,0.05,
14,1035,17,23,NodeMcu、研發電子零件一批,2018/11/7 上午 12:00:00,1,1586,1,組,695.00,1.50,2,0,,1,0.05,
15,1026,19,14,switch,2018/9/9 上午 12:00:00,1,1586,1,台,190.00,3.00,4,0,,1,0.05,
16,1024,20,12,usb 3.0 集線器,2018/8/20 上午 12:00:00,1,1586,1,台,182.00,3.00,5,0,,1,0.05,
17,1023,21,11,NOTEBOOK K43E,2018/8/1 上午 12:00:00,1,9999,1,台,6567.00,3.00,6,0,,1,0.05,
18,1017,22,5,KX-MB2128TW,2018/3/31 上午 12:00:00,1,1586,1,台,6743.00,3.00,10,0,,1,0.05,
19,1015,23,3,投影機,2018/1/28 上午 12:00:00,2,9999,1,台,2980.00,3.00,0,0,,1,0.05,
20,1028,24,16,充電供應轉換板-研發,2018/9/25 上午 12:00:00,1,1586,1,項,305.00,1.50,4,0,107年不攤提,1,0.05,
21,1029,25,17,顯示擴充板,2018/9/25 上午 12:00:00,1,1586,1,項,257.00,1.50,4,0,107年不攤提,1,0.05,
22,1031,26,19,研究發展的電路板設備、連接線,2018/10/4 上午 12:00:00,1,1586,1,項,971.00,1.50,3,0,107年不攤提,1,0.05,
23,1038,27,26,通訊用品,2018/10/9 上午 12:00:00,1,1586,2,件,360.00,1.50,3,0,2018/12/31,1,0.05,
24,1039,28,27,鉗子工具,2018/10/14 上午 12:00:00,1,1586,1,件,114.00,1.50,3,0,2018/12/31,1,0.05,
25,1040,29,28,電源轉接夾-使用各項連接零件上,2018/10/25 上午 12:00:00,1,1586,1,項,28.00,1.50,3,0,,1,0.05,
26,1041,30,29,吸鍚器,2018/10/25 上午 12:00:00,1,1586,1,項,56.00,1.50,3,0,,1,0.05,
27,1042,31,30,電腦移動位置器具,2018/11/23 上午 12:00:00,1,1586,1,項,285.00,1.50,2,0,,1,0.05,
28,1043,32,31,研發零件乙批,2018/12/10 上午 12:00:00,1,1586,1,項,588.00,1.50,1,0,,1,0.05,
29,1044,33,32,研發零件乙批-研發費用-材料,2018/12/24 上午 12:00:00,1,1586,1,項,570.00,1.50,1,0,,1,0.05,
30,1045,34,33,電子器材-電路板熱接處理器材,2018/12/27 上午 12:00:00,1,1586,1,項,155.00,1.50,1,0,,1,0.05,
31,1019,38,7,Notebook,2018/6/4 上午 12:00:00,1,1586,1,台,18000.00,3.00,7,0,20349,1,0.05,
32,1014,39,2,電腦網站、軟體模版、公司網站,2018/1/10 上午 12:00:00,0,1555,1,組,300000.00,5.00,12,0,,2,0.05,
33,1018,41,6,WINDOWS SERVER,2018/5/15 上午 12:00:00,2,9999,1,項,14800.00,4.00,8,0,,1,0.05,
