Accid,系統資料,系統金額,原來的資料,原來的金額
1113,計算,34478.00,原來的,74276.0000
1121,計算,42544.00,原來的,281634.0000
1191,計算,381.00,原來的,0.0000
1239,計算,917.00,原來的,1240.0000
1240,計算,3789.00,原來的,731.0000
1262,計算,229.00,原來的,1424.0000
1266,計算,475.00,原來的,824.0000
1281,計算,3160.00,原來的,2050.0000
1586,計算,10583.00,原來的,9224.0000
1431,計算,21418.00,原來的,24743.0000
1551,計算,516449.00,原來的,323995.0000
1555,計算,11654.00,原來的,100.0000
1533,計算,211111.00,原來的,237104.0000
1583,計算,6000.00,原來的,3350.0000
1284,計算,200.00,原來的,0.0000
2171,計算,3705.00,原來的,1545.0000
2191,計算,34265.00,原來的,50000.0000
3111,計算,1000000.00,原來的,500000.0000
3113,計算,415970.00,原來的,753430.0000
3351,計算,-582581,原來的,-34200.0000
