序號,會計編碼,排序,計算編碼,借/貸,金額,描述,類別,報表型式,建立日期,
1518,,1,1,3,960761.0000,資產,資產,1,2021/1/28 下午 11:21:42,
1519,,2,2,3,371569.0000,流動資產,流動資產,1,2021/1/28 下午 11:21:42,
1520,1115,3,0,1,0.0000,約當現金,流動資產,1,2021/1/28 下午 11:21:42,
1521,1113,4,0,1,74276.0000,銀行存款,流動資產,1,2021/1/28 下午 11:21:42,
1522,1121,5,0,1,281634.0000,金融資產,流動資產,1,2021/1/28 下午 11:21:42,
1523,1122,6,0,1,20000.0000,金融資產,流動資產,1,2021/1/28 下午 11:21:42,
1524,,7,0,1,0.0000,合約資產,流動資產,1,2021/1/28 下午 11:21:42,
1525,1181,8,0,1,0.0000,應收票據,流動資產,1,2021/1/28 下午 11:21:42,
1526,1191,9,0,1,0.0000,應收帳款,流動資產,1,2021/1/28 下午 11:21:42,
1527,1211,10,0,1,0.0000,其他應收款,流動資產,1,2021/1/28 下午 11:21:42,
1528,,11,4,3,1971.0000,存貨,流動資產,1,2021/1/28 下午 11:21:42,
1529,1231,12,0,1,0.0000,商品,流動資產,1,2021/1/28 下午 11:21:42,
1530,1235,13,0,1,0.0000,製成品 ,流動資產,1,2021/1/28 下午 11:21:42,
1531,1237,14,0,1,0.0000,在製品(或在建工程),流動資產,1,2021/1/28 下午 11:21:42,
1532,1239,15,0,1,1240.0000,原料,流動資產,1,2021/1/28 下午 11:21:42,
1533,1240,16,0,1,731.0000,物料,流動資產,1,2021/1/28 下午 11:21:42,
1534,,17,9,3,2414.0000,預付,流動資產,1,2021/1/28 下午 11:21:42,
1535,1261,18,0,1,0.0000,預付薪資,流動資產,1,2021/1/28 下午 11:21:42,
1536,1262,19,0,1,1424.0000,預付租金,流動資產,1,2021/1/28 下午 11:21:42,
1537,1266,20,0,1,824.0000,預付貨款,流動資產,1,2021/1/28 下午 11:21:42,
1538,1283,21,0,1,166.0000,員工借支,流動資產,1,2021/1/28 下午 11:21:42,
1539,,22,3,3,11274.0000,其他流動資產,流動資產,1,2021/1/28 下午 11:21:42,
1540,1281,23,0,1,2050.0000,暫付款,流動資產,1,2021/1/28 下午 11:21:42,
1541,1285,24,0,1,,其他資產,流動資產,1,2021/1/28 下午 11:21:42,
1542,,25,5,3,589192.0000,非流動資產,非流動資產,2,2021/1/28 下午 11:21:42,
1543,1586,26,0,1,9224.0000,其他非流動資產,非流動資產,2,2021/1/28 下午 11:21:42,
1544,1431,27,0,1,24743.0000,辦公設備-成本,非流動資產,2,2021/1/28 下午 11:21:42,
1545,1551,28,0,1,323995.0000,其他無形資產,非流動資產,2,2021/1/28 下午 11:21:42,
1546,1555,29,0,1,100.0000,其他無形資產,非流動資產,2,2021/1/28 下午 11:21:42,
1547,1533,30,0,1,237104.0000,累計攤銷-電腦軟體(5年),非流動資產,2,2021/1/28 下午 11:21:42,
1548,1583,31,0,1,3350.0000,存出保證金,非流動資產,2,2021/1/28 下午 11:21:42,
1549,1584,32,0,1,0.0000,業主往來,非流動資產,2,2021/1/28 下午 11:21:42,
1550,1284,33,0,1,0.0000,存出保證金,非流動資產,2,2021/1/28 下午 11:21:42,
1551,,34,6,3,51545.0000,負債,負債,3,2021/1/28 下午 11:21:42,
1552,2171,35,0,2,1545.0000,應付帳款,負債,3,2021/1/28 下午 11:21:42,
1553,2191,36,0,2,50000.0000,應付薪資,負債,3,2021/1/28 下午 11:21:42,
1554,2197,37,0,2,0.0000,其他應付費用,負債,3,2021/1/28 下午 11:21:42,
1555,2131,38,0,2,0.0000,資產調整轉金融負債,負債,3,2021/1/28 下午 11:21:42,
1556,,39,7,3,1253430.0000,業主權益,權益,4,2021/1/28 下午 11:21:42,
1557,3111,40,0,2,500000.0000,普通股股本,權益,4,2021/1/28 下午 11:21:42,
1558,3113,41,0,2,753430.0000,預收股本,權益,4,2021/1/28 下午 11:21:42,
1559,3351,42,0,2,-34200.0000,累計虧損,權益,4,2021/1/28 下午 11:21:42,
1560,3353,43,0,2,-310014.0000,本期損益,權益,4,2021/1/28 下午 11:21:42,
1561,,44,8,3,960761.0000,負債及權益總額,負債及權益,5,2021/1/28 下午 11:21:42,
