序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,
1,WF20210301001,2021/3/1 上午 12:00:00,6134,3月份預付投資、最新消息媒體費,1,775.00,,,
2,WF20210301001,2021/3/1 上午 12:00:00,1262,3月份預付投資、最新消息媒體費,2,775.00,,,
3,WF20210302001,2021/3/2 上午 12:00:00,6112,3月份office365,1,70.00,,,
4,WF20210302001,2021/3/2 上午 12:00:00,6123,3月份office365,1,4.00,,,
5,WF20210302001,2021/3/2 上午 12:00:00,1113,3月份office365,2,74.00,,,
6,WF20210310002,2021/3/10 上午 12:00:00,6111,3月份勞健保支出,1,696.00,,,
7,WF20210310002,2021/3/10 上午 12:00:00,1281,3月份勞健保支出,2,696.00,,,
8,WF20210310003,2021/3/10 上午 12:00:00,6111,3月份業務支出,1,684.00,,,
9,WF20210310003,2021/3/10 上午 12:00:00,6123,3月份業務支出,1,34.00,,,
10,WF20210310003,2021/3/10 上午 12:00:00,1113,3月份業務支出,2,34.00,,,
11,WF20210310003,2021/3/10 上午 12:00:00,1261,3月份業務支出,2,684.00,,,
12,WF20210312001,2021/3/12 上午 12:00:00,1113,股東增資-11900,1,11900.00,,,
13,WF20210312001,2021/3/12 上午 12:00:00,3113,股東增資-11900,2,11900.00,,,
14,WF20210312002,2021/3/12 上午 12:00:00,2171,3月份薪資支出,1,4106.00,,,
15,WF20210312002,2021/3/12 上午 12:00:00,2191,3月份薪資支出,1,7794.00,,,
16,WF20210312002,2021/3/12 上午 12:00:00,1113,3月份薪資支出,2,11900.00,,,
17,WF20210316001,2021/3/16 上午 12:00:00,6116,3月份郵電費,1,692.00,,,
18,WF20210316001,2021/3/16 上午 12:00:00,6123,3月份郵電費,1,35.00,,,
19,WF20210316001,2021/3/16 上午 12:00:00,1113,3月份郵電費,2,727.00,,,
20,WF20210319001,2021/3/19 上午 12:00:00,6134,停車費,1,19.00,,,
21,WF20210319001,2021/3/19 上午 12:00:00,6123,停車費,1,1.00,,,
22,WF20210319001,2021/3/19 上午 12:00:00,1113,停車費,2,20.00,,,
23,WF20210319002,2021/3/19 上午 12:00:00,6114,油資,1,127.00,,,
24,WF20210319002,2021/3/19 上午 12:00:00,6123,油資,1,6.00,,,
25,WF20210319002,2021/3/19 上午 12:00:00,1113,油資,2,133.00,,,
26,WF20210325001,2021/3/25 上午 12:00:00,6114,油資,1,130.00,,,
27,WF20210325001,2021/3/25 上午 12:00:00,6123,油資,1,7.00,,,
28,WF20210325001,2021/3/25 上午 12:00:00,1113,油資,2,137.00,,,
29,WF20210331001,2021/3/31 上午 12:00:00,1261,3月份業務支出,1,684.00,,,
30,WF20210331001,2021/3/31 上午 12:00:00,6111,3月份薪資,1,15145.00,,,
31,WF20210331001,2021/3/31 上午 12:00:00,6120,3月份保險費,1,2474.00,,,
32,WF20210331001,2021/3/31 上午 12:00:00,1281,3月份勞健保,1,2328.00,,,
33,WF20210331001,2021/3/31 上午 12:00:00,2171,3月份薪資,2,2474.00,,,
34,WF20210331001,2021/3/31 上午 12:00:00,2191,3月份薪資,2,18157.00,,,
