get:1363530,lend:1313750,49780,49780
get:481030,lend:192288,288742,288742
get:1240,lend:0,1240,1240
get:731,lend:0,731,731
get:28460,lend:23010,5450,5450
get:2403,lend:1928,475,475
get:24235,lend:20878,3357,3357
get:166,lend:0,166,166
get:200,lend:100,100,100
get:24743,lend:3325,21418,21418
get:237232,lend:0,237232,237232
get:420000,lend:420000,0,0
get:19612,lend:7408,12204,12204
get:27583,lend:28737,-1154,-1154
get:435711,lend:485663,-49952,-49952
get:260830,lend:760830,-500000,-500000
get:0,lend:453430,-453430,-453430
get:343682,lend:0,343682,343682
get:0,lend:309482,-309482,-309482
get:0,lend:7619,-7619,-7619
get:0,lend:400,-400,-400
get:11609,lend:0,11609,11609
get:533,lend:585,-52,-52
get:33,lend:0,33,33
get:11855,lend:0,11855,11855
get:1450,lend:0,1450,1450
get:258,lend:0,258,258
get:5030,lend:464,4566,4566
get:841,lend:403,438,438
get:200,lend:0,200,200
get:502304,lend:235650,266654,266654
get:18342,lend:0,18342,18342
get:1942,lend:500,1442,1442
get:5293,lend:0,5293,5293
get:100,lend:0,100,100
get:17784,lend:0,17784,17784
get:3222,lend:0,3222,3222
get:4812,lend:1430,3382,3382
get:10733,lend:0,10733,10733
get:21719,lend:20330,1389,1389
get:0,lend:7,-7,-7
get:0,lend:6130,-6130,-6130
get:0,lend:951,-951,-951
get:5578,lend:0,5578,5578
get:959,lend:0,959,959
get:0,lend:3837,-3837,-3837
get:3150,lend:0,3150,3150
